IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.19.206.173,,,,195 毫秒,10854 kB/s
104.17.69.139,,,,245 毫秒,10854 kB/s
104.18.143.241,,,,218 毫秒,10854 kB/s
104.24.240.96,,,,196 毫秒,10854 kB/s
172.67.11.14,,,,199 毫秒,10854 kB/s
104.20.85.132,,,,200 毫秒,10854 kB/s
104.17.133.173,,,,171 毫秒,10854 kB/s
104.24.85.128,,,,214 毫秒,10854 kB/s
104.18.178.110,,,,186 毫秒,10854 kB/s
104.23.116.48,,,,200 毫秒,10854 kB/s
104.17.218.177,,,,162 毫秒,10854 kB/s
172.67.51.202,,,,197 毫秒,10854 kB/s
104.21.60.32,,,,198 毫秒,10854 kB/s
162.159.58.129,,,,197 毫秒,10854 kB/s
104.25.34.11,,,,204 毫秒,10854 kB/s
104.25.197.50,,,,207 毫秒,10854 kB/s
104.16.186.64,,,,159 毫秒,10854 kB/s
104.16.8.171,,,,166 毫秒,10854 kB/s
172.67.197.197,,,,189 毫秒,10854 kB/s
172.67.252.160,,,,205 毫秒,10854 kB/s
104.16.105.70,,,,166 毫秒,10854 kB/s
104.16.61.201,,,,164 毫秒,10854 kB/s
104.18.172.240,,,,159 毫秒,10854 kB/s
104.17.104.252,,,,186 毫秒,10854 kB/s
104.20.177.212,,,,206 毫秒,10854 kB/s
104.18.117.206,,,,160 毫秒,10854 kB/s
104.18.205.211,,,,168 毫秒,10854 kB/s
104.25.145.234,,,,192 毫秒,10854 kB/s
104.25.56.185,,,,205 毫秒,10854 kB/s
104.16.191.167,,,,184 毫秒,10854 kB/s
162.159.241.171,,,,200 毫秒,10854 kB/s
104.16.243.30,,,,157 毫秒,10854 kB/s
104.19.168.251,,,,162 毫秒,10854 kB/s
104.16.207.5,,,,176 毫秒,10854 kB/s
104.18.47.178,,,,197 毫秒,10854 kB/s
162.159.16.41,,,,196 毫秒,10854 kB/s
104.24.197.22,,,,206 毫秒,10854 kB/s
104.21.200.46,,,,237 毫秒,10854 kB/s
104.18.206.52,,,,164 毫秒,10854 kB/s
104.25.35.148,,,,196 毫秒,10854 kB/s
172.67.60.46,,,,213 毫秒,10854 kB/s
